dummy,Holiday,Holiday,COVID,COVID,Holiday_COVID,Holiday_COVID
stat,coef,pval,coef,pval,coef,pval
2017-09-29,0.13106783349068615,0.6711476546601564,0.0,1.0,0.0,
2017-10-31,0.11810593249001806,0.6812954224899299,0.0,1.0,0.0,1.0
2017-11-30,0.13153339918749646,0.6234582037714469,0.0,1.0,0.0,
2017-12-29,0.13367178561095913,0.6004124890422573,0.0,1.0,0.0,1.0
2018-01-31,0.08664938087181491,0.7041158899831317,0.0,1.0,0.0,
2018-02-28,0.41861620135897576,0.055075138321561586,0.0,1.0,0.0,1.0
2018-03-30,0.4562226345394086,0.12414204078434055,0.0,,0.0,1.0
2018-04-27,0.419307771223255,0.1467779920346955,0.0,1.0,0.0,1.0
2018-05-31,0.4184324555756703,0.1550984187402817,0.0,,0.0,1.0
2018-06-29,0.48863895237341365,0.12882931044541315,0.0,,0.0,
2018-07-31,0.47469109686381683,0.16425251308830113,0.0,,0.0,
2018-08-31,0.48303200187800205,0.19006381012469808,0.0,1.0,0.0,1.0
2018-09-28,0.48071071412949956,0.21108697733479564,0.0,,0.0,1.0
2018-10-31,0.44835955627352353,0.2764414686366661,0.0,1.0,0.0,
2018-11-30,0.45333437036673535,0.28394392711461713,0.0,,0.0,
2018-12-28,0.4765684216278127,0.27530998904790194,0.0,1.0,0.0,1.0
2019-01-31,0.3539199469978535,0.3835447972082483,0.0,1.0,0.0,1.0
2019-02-28,0.8754717746214984,0.04211268973048939,0.0,1.0,0.0,1.0
2019-03-29,0.8758683912704962,0.05667693661433014,0.0,,0.0,1.0
2019-04-30,0.8745575320400991,0.07479563677595492,0.0,,0.0,
2019-05-31,0.8745311124066799,0.09110648377166829,0.0,,0.0,1.0
2019-06-28,0.8762554020478457,0.09459567161401865,0.0,1.0,0.0,
2019-07-31,0.8794601917954302,0.09587197270515356,0.0,1.0,0.0,
2019-08-30,0.886031207247821,0.09902921757485203,0.0,,0.0,
2019-09-30,0.8875414753338268,0.09790334104956697,0.0,,0.0,
2019-10-31,0.8881215166893265,0.10077188375905195,0.0,1.0,0.0,
2019-11-29,0.9006402108372442,0.09803674312799109,0.0,1.0,0.0,1.0
2019-12-31,0.8945645695250468,0.09465168813556864,0.0,1.0,0.0,1.0
2020-01-23,0.6551893448883958,0.09595106487847452,0.0,,0.0,1.0
2020-02-28,0.6318669769886262,0.11223484618820298,0.2339133094490215,0.5136410509560005,-1.705073416229591,0.007317673593233832
2020-03-31,0.43317470337333397,0.39475123942717494,-0.1082686900855838,0.4996274544320316,-1.1481021690543352,0.06686160627118122
2020-04-30,0.424144010840724,0.39620278809784026,0.015478513200073032,0.917606669761,-1.2718646054080256,0.037812148038817356
2020-05-29,0.4192710896586426,0.3927205105477297,-0.011807168554889945,0.9335563730670596,-1.2434167135656675,0.03800718960265803
2020-06-30,0.41548246255710397,0.39334016246209047,0.02738540887687359,0.8405076955531422,-1.2818070371462646,0.030652926750923133
