dummy,Holiday,Holiday,COVID,COVID,Holiday_COVID,Holiday_COVID
stat,coef,pval,coef,pval,coef,pval
2017-02-28,0.4199650747814673,0.45925091313881805,0.0,,0.0,1.0
2017-03-31,0.32271697323228205,0.6122759380827132,0.0,1.0,0.0,1.0
2017-04-28,0.35945906723399873,0.5627498306695615,0.0,,0.0,1.0
2017-05-31,0.3795798913231312,0.5126468671470659,0.0,1.0,0.0,1.0
2017-06-30,0.4441727884980508,0.38536822064072207,0.0,,0.0,1.0
2017-07-31,0.40631418331486907,0.3068794401789451,0.0,,0.0,1.0
2017-08-31,0.400166074658546,0.3005079336687696,0.0,,0.0,
2017-09-29,0.3929954602390283,0.19156812967401649,0.0,,0.0,1.0
2017-10-31,0.3927117757861876,0.15419276484729777,0.0,1.0,0.0,
2017-11-30,0.41919966444721407,0.09420202164588469,0.0,1.0,0.0,
2017-12-29,0.4263609580429299,0.06839328651818466,0.0,,0.0,1.0
2018-01-31,0.3962148596677078,0.03249935233685476,0.0,1.0,0.0,1.0
2018-02-28,0.593813315092042,0.001603751570239604,0.0,1.0,0.0,
2018-03-30,0.5597990911313208,0.043845328318862155,0.0,1.0,0.0,1.0
2018-04-27,0.5789786561446247,0.0339049302588653,0.0,1.0,0.0,1.0
2018-05-31,0.5708185253210222,0.02682214116682342,0.0,,0.0,
2018-06-29,0.5873281490419513,0.027522039951213495,0.0,,0.0,
2018-07-31,0.6251693455956109,0.021241789742811542,0.0,,0.0,1.0
2018-08-31,0.6081794350616647,0.03768169594074869,0.0,1.0,0.0,1.0
2018-09-28,0.5877468580415899,0.05184631034008508,0.0,,0.0,
2018-10-31,0.5917247950126842,0.06969539377021584,0.0,1.0,0.0,1.0
2018-11-30,0.6007832359279607,0.07996312485385196,0.0,,0.0,1.0
2018-12-28,0.606368885190693,0.08453811010337231,0.0,,0.0,1.0
2019-01-31,0.5031002971451389,0.11464931105495137,0.0,1.0,0.0,1.0
2019-02-28,0.9381814216468906,0.008261397214303851,0.0,,0.0,
